   missn_time ,   Vind_kias ,   Vind_keas ,   Vtrue_ktas ,   Vtrue_ktgs ,   Machratio ,   VVI_fpm ,   Gloadnorml ,   Gloadaxial ,   Gload_side ,   pitch_deg ,   roll_deg ,   hding_true ,   hding_mag ,   alpha_deg ,   beta_deg ,   hpath_deg ,   vpath_deg ,   slip_deg ,   altftmsl ,   altftagl ,   onrunwy ,   dist__ft ,   N1_1_pcnt ,   Ngear__lb ,   MLgear__lb ,   MRgear__lb ,   L/Dratio ,   cltotal ,   cdtotal,
16.06163,28.86697,30.24692,29.29405,5.48869,0.04565,1.45746,1.00436,0.27566,0.04026,-0.01658,-1.43357,94.0736,70.34029,-1.8997,9.23237,94.68681,0.53513,0.52281,23.52943,0.63204,1,11.89772,90.28109,508.2515,4020.15649,3337.90698,3.44546,0.84007,0.24382, 
16.17216,29.40195,30.78342,29.81365,6.09668,0.04646,1.76397,1.0001,0.29446,0.03818,-0.02031,-1.41447,94.46452,70.7312,-1.94723,8.71608,95.00068,0.52995,0.56881,23.53761,0.63572,1,12.98909,91.01376,513.01239,3969.51611,3317.79663,3.46073,0.84642,0.24458, 
16.27074,29.85345,31.21841,30.23493,6.67009,0.04712,2.01,0.99669,0.30782,0.0379,-0.03254,-1.4125,94.79919,71.06586,-2.33072,8.44983,95.26205,0.45564,0.6083,23.54465,0.63848,1,14.06042,91.58876,541.42816,3945.71509,3289.86328,3.3324,0.81948,0.24591, 
16.35896,30.18866,31.57777,30.58298,7.20174,0.04766,2.15972,0.99553,0.31761,0.03946,-0.04389,-1.42047,95.08315,71.34982,-2.85661,8.31515,95.49292,0.3721,0.64353,23.54994,0.63975,1,15.10295,92.04584,573.16956,3950.23022,3270.59229,3.13064,0.77596,0.24786, 
16.46004,30.5965,32.00041,30.99231,7.8283,0.0483,2.23303,0.99613,0.32471,0.03784,-0.04863,-1.43997,95.39632,71.66299,-3.56038,8.26375,95.73268,0.28907,0.68343,23.55459,0.63978,1,16.39561,92.5032,602.37085,3984.86621,3252.95776,2.88169,0.71797,0.24915, 
16.55583,30.97521,32.44197,31.41996,8.43497,0.04897,2.22099,0.99663,0.33144,0.04226,-0.03795,-1.46726,95.69666,71.96331,-4.19525,8.3706,95.96345,0.23013,0.72093,23.55776,0.63849,1,17.71993,92.87578,609.6449,4038.44287,3239.39575,2.60472,0.65966,0.25325, 
16.63163,31.2631,32.79102,31.75801,8.91917,0.04949,2.17081,0.99823,0.33411,0.04685,-0.01652,-1.48795,95.93752,72.20418,-4.64159,8.52829,96.17893,0.20239,0.7549,23.55962,0.63668,1,18.83765,93.13167,602.46527,4087.51978,3242.64331,2.40189,0.6179,0.25726, 
16.74159,31.73454,33.32917,32.27921,9.63034,0.05031,2.07584,1.00051,0.33927,0.05273,0.03556,-1.50627,96.28809,72.55473,-5.15295,8.82496,96.53532,0.1954,0.81123,23.56197,0.63302,1,20.57214,93.44746,569.15741,4147.91211,3269.40796,2.16098,0.56879,0.26321, 
16.84018,32.20288,33.83976,32.77372,10.27282,0.05108,2.01726,1.00321,0.34201,0.05629,0.09888,-1.50793,96.59998,72.86661,-5.42338,9.14528,96.87632,0.22105,0.86699,23.56456,0.62913,1,22.23875,93.67426,517.79114,4190.40869,3313.91919,2.02286,0.54266,0.26826, 
16.92868,33.24916,35.32585,34.21299,10.85014,0.05332,2.0411,1.01367,0.34197,0.06492,0.16306,-1.49396,96.87285,73.13947,-4.72176,9.99618,97.21869,0.30829,0.92158,23.56862,0.6263,1,23.8273,93.81953,450.45239,4201.19434,3358.52197,2.1422,0.58391,0.27257, 
17.03043,34.95847,37.05944,35.89198,11.50878,0.05594,2.32843,1.01804,0.34126,0.06661,0.23101,-1.4523,97.16746,73.43407,-3.51499,10.71799,97.64301,0.47871,0.9926,23.5783,0.62608,1,25.75847,93.90788,331.16443,4136.63184,3398.44067,2.42906,0.66876,0.27532, 
17.11273,36.09498,38.26098,37.05567,12.0404,0.05775,2.81144,1.01721,0.3399,0.0646,0.2672,-1.40336,97.39093,73.65753,-2.47668,10.98387,97.95983,0.60829,1.04809,23.59086,0.62928,1,27.40341,93.91987,253.59851,4040.21631,3409.2395,2.67486,0.73876,0.27619, 
17.21945,37.46636,39.5676,38.32114,12.72449,0.05972,3.71294,1.01023,0.3393,0.06278,0.27341,-1.33458,97.66029,73.92688,-1.30084,10.91585,98.33691,0.72049,1.11547,23.61264,0.63729,1,29.64614,93.87164,197.08574,3858.78223,3385.87646,3.00709,0.82571,0.27459, 
17.31598,38.47158,40.51921,39.24277,13.34371,0.06116,4.67304,1.00366,0.33808,0.05808,0.23598,-1.28226,97.87789,74.14447,-0.42542,10.57539,98.63653,0.75871,1.17112,23.63576,0.64713,1,31.77989,93.78886,211.49922,3691.58887,3330.91553,3.26681,0.88436,0.27071, 
17.41028,39.25786,41.26527,39.96535,13.94696,0.06228,5.60825,0.99368,0.33554,0.05427,0.17041,-1.25034,98.06014,74.32671,0.19369,10.0529,98.89421,0.72928,1.21998,23.65931,0.65764,1,33.96127,93.69404,261.54254,3549.56836,3254.0918,3.40238,0.9039,0.26567, 
17.49723,39.85972,41.7896,40.47318,14.50088,0.06308,6.34466,0.99111,0.33275,0.04877,0.10458,-1.24037,98.1956,74.46215,0.6025,9.44643,99.09217,0.66144,1.25955,23.67975,0.66656,1,36.0589,93.6104,312.96689,3457.50146,3182.21558,3.62379,0.93711,0.2586, 
17.59756,40.44958,42.27544,40.94373,15.13508,0.06381,6.97915,0.99208,0.33052,0.04121,0.03292,-1.25084,98.31735,74.58389,0.87171,8.66286,99.2516,0.58017,1.29313,23.7009,0.67501,1,38.57897,93.53026,399.65591,3391.3147,3088.34546,3.87997,0.96579,0.24892, 
17.67964,40.82407,42.6054,41.26329,15.65257,0.06431,7.33853,0.99125,0.32723,0.0348,-0.01579,-1.27413,98.39606,74.6626,0.87963,8.02806,99.33537,0.5172,1.31206,23.71622,0.67989,1,40.72053,93.47722,462.82724,3373.89941,3016.93994,4.01111,0.96295,0.24007, 
17.78634,41.21898,42.89244,41.54131,16.31903,0.06474,7.58172,0.98889,0.32486,0.02652,-0.04513,-1.31727,98.48486,74.75137,0.73275,7.26059,99.38442,0.41954,1.32517,23.73276,0.68128,1,43.61155,93.42321,504.13177,3414.92383,2944.66699,4.0243,0.93413,0.23212, 
17.88307,41.492,43.19767,41.83693,16.91952,0.0652,7.57753,0.99821,0.32147,0.02382,-0.02709,-1.35889,98.56644,74.83295,0.65399,6.76313,99.39067,0.36059,1.32787,23.74452,0.67673,1,46.33482,93.38716,481.35413,3515.10352,2935.12476,4.11163,0.92875,0.22588, 
17.99364,42.1668,43.89495,42.51224,17.59794,0.06625,7.54385,1.01096,0.31913,0.02561,0.03876,-1.39034,98.66665,74.93313,1.38115,6.52026,99.39769,0.40057,1.32977,23.75849,0.66871,1,49.56832,93.3588,341.04657,3621.0105,2965.94116,4.18744,0.95872,0.22895, 
18.09199,42.78224,44.53242,43.12965,18.19079,0.06722,8.08975,1.05746,0.31599,0.03621,0.18006,-1.40727,98.76488,75.03133,1.89239,6.37191,99.47317,0.80635,1.34416,23.78454,0.67355,1,52.54877,93.34345,794.94012,3554.63672,2861.04395,4.273,0.99162,0.23207, 
18.1872,43.3465,45.12701,43.70553,18.76399,0.06811,9.53269,0.99366,0.31934,0.02575,0.42488,-1.42273,98.88819,75.15464,2.51647,6.30442,99.50008,0.88296,1.35301,23.8234,0.69279,1,55.52729,93.33611,489.11209,3378.81079,2660.38696,4.32788,1.03674,0.23955, 
18.27194,43.80556,45.62498,44.18784,19.27266,0.06887,10.70955,0.97069,0.32407,0.02884,0.70582,-1.43468,99.03304,75.29947,3.17286,6.27848,99.52172,0.76804,1.35695,23.85602,0.70935,1,58.25661,93.33488,382.39331,3273.854,2542.34839,4.39866,1.08179,0.24594, 
18.37575,44.40658,46.24184,44.78529,19.88487,0.0698,11.68763,1.02712,0.32117,0.03718,1.1186,-1.41046,99.24664,75.51305,3.8885,6.29557,99.58558,0.77107,1.36982,23.89183,0.68657,1,61.69785,93.33902,226.76373,3808.21069,2472.09424,4.48917,1.13641,0.25315, 
18.43527,44.62988,46.56301,45.09635,20.2226,0.07028,12.45861,1.08732,0.31784,0.03925,1.36911,-1.34788,99.382,75.64839,4.12062,6.2828,99.63911,1.04672,1.38095,23.92158,0.66381,1,63.72094,93.34396,14.29779,3926.94214,3003.82764,4.56729,1.15801,0.25354, 
18.56269,45.27147,47.18917,45.70285,20.94293,0.07123,16.38528,1.11233,0.32642,0.04541,1.88252,-1.22629,99.69365,75.96002,4.41982,6.25987,99.78495,1.83795,1.40554,24.0293,0.65284,1,68.16315,93.35896,0,3848.50635,3170.74292,4.71096,1.19406,0.25346, 
18.67013,45.77828,47.72632,46.22315,21.5528,0.07204,22.0526,1.04481,0.33526,0.04644,2.30226,-1.18459,99.97471,76.24106,4.70736,6.22572,99.93841,2.25698,1.4323,24.16342,0.68028,1,72.02722,93.37524,0,3501.02197,2838.72339,4.76727,1.21505,0.25487, 
18.7728,46.2132,48.20848,46.69021,22.13879,0.07277,28.05914,0.97282,0.34391,0.05483,2.71242,-1.19019,100.25241,76.51874,5.09761,6.17564,100.11698,2.2718,1.46604,24.30643,0.7194,1,75.82307,93.39308,0,3159.70117,2437.80518,4.8794,1.25003,0.25618, 
18.87411,46.66247,48.68413,47.15097,22.7202,0.07348,33.21858,0.935,0.35157,0.06025,3.13527,-1.21482,100.51427,76.78058,5.57207,6.12271,100.33565,2.03877,1.51614,24.4411,0.75272,1,79.66835,93.41219,0,2945.88354,2155.24536,5.06098,1.30535,0.25792, 
18.95241,47.03185,49.13592,47.5886,23.16959,0.07417,36.27752,0.9321,0.35653,0.06336,3.47049,-1.23477,100.70009,76.96638,5.86192,6.1914,100.51256,1.81869,1.55956,24.53462,0.76784,1,82.70783,93.42757,0,2899.71167,2049.89722,5.1344,1.33798,0.26059, 
19.06334,47.53021,49.659,48.09528,23.80413,0.07495,39.36419,0.95933,0.36288,0.06601,3.95235,-1.24786,100.93556,77.20183,6.06534,6.22679,100.77059,1.60728,1.62452,24.65303,0.77083,1,87.1173,93.44993,0,2981.28174,2068.42749,5.21635,1.36764,0.26218, 
19.16195,47.93388,50.05755,48.48135,24.36139,0.07556,41.46647,0.99394,0.36785,0.06578,4.38329,-1.23765,101.11964,77.38589,6.07887,6.28483,100.99374,1.59434,1.67955,24.75453,0.76304,1,91.13489,93.46973,0,3095.14282,2172.88672,5.26721,1.37909,0.26182, 
19.25738,48.25285,50.40013,48.8132,24.89433,0.07607,43.60797,1.01025,0.37287,0.06604,4.80116,-1.21386,101.27988,77.5461,5.98419,6.38695,101.20319,1.69873,1.72886,24.85946,0.75887,1,95.11031,93.48858,0,3124.33154,2244.55249,5.28983,1.37679,0.26027, 
19.34171,48.4888,50.64488,49.05031,25.36043,0.07644,45.83274,1.00206,0.37632,0.06716,5.17339,-1.19191,101.40797,77.67417,5.90083,6.47894,101.38401,1.79952,1.7703,24.96108,0.76513,1,98.69498,93.50486,0,3047.20776,2222.23901,5.31577,1.37618,0.25889, 
19.44412,48.77649,50.93096,49.32747,25.92373,0.07688,48.8185,0.97844,0.38214,0.06659,5.62541,-1.17162,101.54198,77.80815,5.93733,6.63084,101.6052,1.84896,1.82299,25.09252,0.78282,1,103.13709,93.52383,0,2865.01416,2091.34399,5.47725,1.40774,0.25702, 
19.52162,48.9548,51.13737,49.52745,26.34889,0.07719,51.04797,0.96056,0.38564,0.06594,5.95071,-1.1585,101.6264,77.89257,6.02432,6.77189,101.76942,1.82675,1.86328,25.19398,0.7966,1,106.56264,93.53747,0,2741.40503,1978.15845,5.5648,1.43072,0.2571, 
19.63194,49.30203,51.60493,49.98038,26.94903,0.07789,53.8482,0.9541,0.38865,0.06889,6.38365,-1.13065,101.72182,77.98796,6.20325,7.4834,101.99963,1.74741,1.92027,25.336,0.80684,1,111.53618,93.55584,0,2658.93066,1925.80774,5.48175,1.43476,0.26173, 
19.73001,49.51564,51.91546,50.28122,27.48199,0.07836,55.89874,0.87447,0.39296,0.07006,6.75716,-1.05496,101.78456,78.05066,6.747,7.7608,102.21138,1.5914,1.9749,25.45773,0.825,1,116.0494,93.5709,0,2591.89038,1164.06885,5.46411,1.47527,0.26999, 
19.82436,49.7234,52.27875,50.63313,28.01444,0.07891,56.22882,0.74968,0.39508,0.07348,7.12694,-0.85185,101.82767,78.09376,7.77184,8.00072,102.43982,0.94069,2.04832,25.54208,0.89542,1,120.47672,93.58427,0,1581.39099,924.26373,5.31286,1.52409,0.28687, 
19.90815,49.90079,52.45275,50.80167,28.49644,0.07917,53.83357,0.77628,0.40526,0.07409,7.49064,-0.69723,101.84902,78.11508,8.95644,8.34074,102.64581,0.2991,2.12102,25.56866,0.91328,1,124.48116,93.59528,0,1406.74194,1086.58667,5.22049,1.60369,0.30719, 
20.01039,49.30452,52.31889,50.67203,29.09663,0.07897,48.27747,0.90437,0.43351,0.08365,7.9798,-0.60343,101.83044,78.09647,10.69155,9.07666,102.92549,-0.09469,2.20826,25.55739,0.88974,1,129.46051,93.6075,0,1695.49646,1518.79785,5.11061,1.75574,0.34355, 
20.08686,49.17491,52.46142,50.81006,29.54603,0.07919,43.7542,0.99845,0.45217,0.08405,8.35623,-0.59562,101.76129,78.02731,11.57239,9.31626,103.13184,-0.03859,2.26364,25.54226,0.86133,1,133.25215,93.61578,0,1987.38513,1773.38745,5.08093,1.84721,0.36356, 
20.19691,49.4164,52.83952,51.17625,30.18744,0.07976,38.87936,1.04063,0.46279,0.07543,8.85272,-0.63883,101.54514,77.81112,11.94097,9.14575,103.39825,0.32804,2.32757,25.54448,0.84332,1,138.81204,93.6265,0,2100.49414,1797.68701,5.15365,1.90847,0.37031, 
20.29372,49.9475,53.2945,51.61693,30.74078,0.08044,36.72908,0.98652,0.45563,0.06563,9.21699,-0.69845,101.24171,77.50767,11.62084,8.53828,103.57661,0.57217,2.36711,25.57422,0.86101,1,143.79886,93.63474,0,1871.26965,1482.76111,5.32815,1.90901,0.35829, 
20.38125,50.51675,53.70607,52.01556,31.23047,0.08106,35.66346,0.92093,0.44349,0.05671,9.46513,-0.75687,100.8821,77.14803,10.98726,7.76432,103.7011,0.58529,2.3967,25.60988,0.88767,1,148.38591,93.64136,0,1633.33789,1132.97363,5.59075,1.89316,0.33862, 
20.4818,51.24757,54.16563,52.46068,31.77826,0.08176,34.19942,0.87733,0.43229,0.02799,9.64001,-0.80674,100.39618,76.66208,10.16379,6.73979,103.76599,0.40395,2.41126,25.64123,0.90304,1,153.74216,93.64803,0,1539.17188,923.06903,5.88672,1.8357,0.31184, 
20.57729,51.82386,54.52298,52.8068,32.28272,0.0823,31.91893,0.88522,0.4284,-0.00174,9.70865,-0.79321,99.9092,76.17507,9.39325,5.82048,103.72298,0.20264,2.38139,25.65284,0.89641,1,158.91284,93.65352,0,1596.12427,1071.10059,6.04847,1.76071,0.2911, 
20.65238,52.1567,54.72297,53.0005,32.66838,0.0826,29.59633,0.90055,0.42605,-0.03351,9.72427,-0.72528,99.53587,75.80173,8.9541,5.23943,103.60558,0.0829,2.32167,25.65096,0.88398,1,163.03458,93.65732,0,1638.0575,1333.35486,5.9602,1.68354,0.28246, 
20.76132,52.4617,54.91059,53.18221,33.21384,0.08288,25.85901,0.94636,0.43045,-0.06272,9.74144,-0.52054,99.05972,75.32555,8.62016,4.70458,103.32931,0.02492,2.18224,25.63854,0.86159,1,169.10168,93.66207,0,1606.04175,1825.30725,5.96028,1.64549,0.27608, 
