TIME,ALTITUDE,QC,PS,TAT,SAT,MACH,CAS,Throttle Angle,N1,Mag Hdg,PITCH,ROLL,Aileron Pilot Force,Elevator Stick Force,Rudder Force,Boom AoA,Boom AoSS,Rudder Position,STAB Position,Elevator Position,Aileron Position,Weight,Nx,Nz
SEC,FT,mBAR,INHG,DEGC,DEGC,,KTS,DEG,PCT,DEG,DEG,DEG,LBS,LBS,LBS,INOP,INOP,DEG,DEG,DEG,DEG,LB,G,G
4.4,17423,24.375,15.3,-7.75,-11.25,0.25667,122,50.49,90.938,63.333,17.98,-4.93,-1.6,-2.2,0.5,6.73,-1.42,0.32,18.1,-8.51,-3.8,11405,0.375,0.788
4.5,17423,24.375,15.3,-7.75,-11.25,0.25667,122,50.49,90.938,63.333,17.98,-4.93,-1.5,-1.2,-0.3,6.87,-1.39,0.32,18.11,-8.49,-3.8,11405,-0.119,0.902
4.6,17430,24.2187,15.3,-7.75,-11.25,0.25635,121.87,50.49,90.044,63.184,18.06,-5.44,-0.4,-2,-0.2,6.96,-1.23,0.35,18.11,-8.5,-3.8,11402,0.259,0.92
4.7,17430,24.2187,15.3,-7.75,-11.25,0.25635,121.87,50.49,90.044,63.184,18.06,-5.44,1.8,0.3,-1.6,7.05,-1.37,0.35,18.11,-8.42,-3.8,11402,0.274,0.822
4.8,17439,24.1562,15.29,-7.75,-11.25,0.25554,121.44,50.42,89.291,63.041,18.14,-5.93,2.9,1.6,-3,7.13,-1.45,0.32,18.1,-8.02,-3.6,11400,-0.145,0.817
4.9,17439,24.1562,15.29,-7.75,-11.25,0.25554,121.44,50.42,89.291,63.041,18.14,-5.93,3.7,1,-3.6,7.14,-1.37,0.29,18.1,-7.92,-3.2,11400,0.433,0.739
5,17446,24,15.29,-7.75,-11.25,0.25517,121.25,50.42,88.638,62.909,18.24,-6.27,4.2,2,-3.4,7.33,-1.4,0.22,18.1,-7.89,-2.2,11397,0.092,0.892
5.1,17446,24,15.29,-7.75,-11.25,0.25517,121.25,50.42,88.638,62.909,18.24,-6.27,3.6,0.7,-1.4,7.41,-1.47,0.22,18.11,-7.89,-1.6,11397,0.34,1.011
5.2,17453,23.8437,15.28,-7.75,-11.25,0.25435,120.87,50.42,88.139,62.794,18.32,-6.43,2.6,-0.5,-2.2,7.39,-1.35,0.26,18.11,-7.89,-1.6,11396,0.342,0.757
5.3,17453,23.8437,15.28,-7.75,-11.25,0.25435,120.87,50.42,88.139,62.794,18.32,-6.43,2.6,0.9,-2.6,7.53,-1.35,0.22,18.11,-7.92,-1.5,11396,0.158,0.786
